tweet_id,tweet_full_text,tweet_lang,created_at
1237363349559611393,"... clouds fields ...
:
:
:
:
:
:
:
:
#field #green #grey #landscape #camera #sharp #new #march #2020 #run #clouds #cloudy #loveit #amazing #cool #wideangle #laicacamera #interesting #insta #world #travelphotography #trend #picoftheday #photographylovers #repost #outdoor #retweet https://t.co/gWOrwrDcZH",en,Tue Mar 10 13:03:06 +0000 2020
1237363313173868547,RT @iamshadabfaridi: Backstage fun with #amazing actor #bigboss winner and a humble human being @RealVinduSingh Lots of love bhai ❤️🤗 https…,en,Tue Mar 10 13:02:57 +0000 2020
1237363306131791873,The light sent to save our souls tells us to be the light in the world we encounter today!!! #amazing #faces  https://t.co/QaZnhOazUt https://t.co/7m7yVLsWBI,en,Tue Mar 10 13:02:55 +0000 2020
1237362724025143298,"Make today #amazing. ☺️ #GoodVibes
.
.
.
#TheVibeWithKy #tuesdaymotivation #morningmotivation https://t.co/BYZwKakq5v",en,Tue Mar 10 13:00:37 +0000 2020
1237362679192252416,Looks to me like Goldilocks grew up and let the bears move in with her. #Animals #WildAnimals #Tiger #Bear #ExoticPets #Amazing #WhiteTiger https://t.co/aWkkaLJPi7,en,Tue Mar 10 13:00:26 +0000 2020
1237362675610537984,RT @bolton__castle: It might be #windy in #Yorkshire #today but we are open. Come in and #shelter in the #Castle and #discover how Mary Que…,en,Tue Mar 10 13:00:25 +0000 2020
1237362609902497792,"Make up brush look for it in our store. 
#love #beautiful #fashion #photography #photooftheday #makeup #art #pretty #style #amazing #model #girl #photo #cute #nature #smile #travel #picoftheday #selfie #instadaily… https://t.co/FMoK8jLna7",en,Tue Mar 10 13:00:09 +0000 2020
1237362602193321984,Check out this amazing #transformationtuesday from Long Island Poolscapes WOW! What an amazing patio transformation! 👍🏼 #transformation #amazing #homerenovation #yes https://t.co/kWzKRZihJA,en,Tue Mar 10 13:00:08 +0000 2020
1237362527987806208,"Check out my new tik tok!
#beautiful #love #amazing #positive #retweet #like #follow #cool #AWE #love #life #smile #TikTok https://t.co/MdfE8zAsQ2",en,Tue Mar 10 12:59:50 +0000 2020
1237362479996559360,"It's : 2020-03-10T12:59:38.7084665Z 

#tuesdaymotivation #funny #pets #followme #f4f #c4c #shout #love #me #cute #like #rt #girl #guy #beautiful #look #amazing #style #colorful #ico #Walls #BestMusicVideo #iHeartAwards #BoyWithLuv",en,Tue Mar 10 12:59:38 +0000 2020
1237362130359406597,"RT @CTag25: _Keith Jarrett 🌻🎶🎵

_Be My Love 🎶🌸🌹

https://t.co/IsQiOrQCYf #9Marzo #Music #Piano #Jazz #amazing 🌼 https://t.co/a69K5NLIwl",en,Tue Mar 10 12:58:15 +0000 2020
1237361952671895552,"DOOM Eternal | SAVE 37% on PC #DOOMEternal #DOOM #Gameplay #Walkthrough #awesome #amazing #game #letsplay #smile #nerd #geek #gaming #streaming #youtube #youtubegaming #LetsPlay #Mixer @TwitterGaming @DOOM 

https://t.co/qAjBwWaU04",en,Tue Mar 10 12:57:33 +0000 2020
1237361936767111168,"RT @shura_trading: IperEspresso Capsule Machines - Make café quality coffee and espresso at home with ease.
#LIVEHAPPilly #Shura #illy #lly…",en,Tue Mar 10 12:57:29 +0000 2020
1237361917360046080,Women's Shanti Crystal Bracelet #amazing #instamood https://t.co/8BLea8TSyo https://t.co/4GtJ1hYr9b,en,Tue Mar 10 12:57:24 +0000 2020
1237361915564883968,"RT @HFKPhotography: Common Myna
Location: #Jeddah #Makkah Region #SaudiArabia #birds #photooftheday #wildlife #nature #naturephotography #p…",en,Tue Mar 10 12:57:24 +0000 2020
1237361851270344705,These set of McLaren wheels have just had a freshen up and looking amazing 👌😎#mclaren #mclarenalloys #freshmclarenwheels #mclarenalloys #mclarenwheels #freshenup #headturner #lookingfresh #amazing #refurbishedalloys #platinumalloys https://t.co/WEOwZQGvoP,en,Tue Mar 10 12:57:09 +0000 2020
1237361704381689857,RT @JaneJwang: Sharing the #myths and #realities of startup journey with an #amazing international women’s day line up! &lt;3 the community @T…,en,Tue Mar 10 12:56:34 +0000 2020
1237361467374145537,"RT @shura_trading: illy Y3 Iperespresso Machine -  Choose it because it's small, Fall in love with, It because it's Great.
#LIVEHAPPilly #S…",en,Tue Mar 10 12:55:37 +0000 2020
1237361220564508673,"It's : 2020-03-10T12:54:38.4400897Z 

#tuesdaymotivation #funny #pets #followme #f4f #c4c #shout #love #me #cute #like #rt #girl #guy #beautiful #look #amazing #style #colorful #ico #Walls #BestMusicVideo #iHeartAwards #BoyWithLuv",en,Tue Mar 10 12:54:38 +0000 2020
1237361183918895104,"RT @HFKPhotography: Common Myna
Location: #Jeddah #Makkah Region #SaudiArabia #birds #photooftheday #wildlife #nature #naturephotography #p…",en,Tue Mar 10 12:54:29 +0000 2020
1237360924727619590,"Common Myna
Location: #Jeddah #Makkah Region #SaudiArabia #birds #photooftheday #wildlife #nature #naturephotography #photography #photographer #amazing #travel #birdsphotography #tourism #beauty #photo #ksa @SaudiMagazine @IASArabia @SapracOrg @SaudiArabia @NikonAsia @NikonSaudi https://t.co/vbibsFdtrO",en,Tue Mar 10 12:53:28 +0000 2020
1237360263483056128,A millennium falcon drone 😍@falamb3 #drone #fly #FlyHigh #Amazing https://t.co/en8xtPz0Ir,en,Tue Mar 10 12:50:50 +0000 2020
1237359961350553602,"It's : 2020-03-10T12:49:38.1022945Z 

#tuesdaymotivation #funny #pets #followme #f4f #c4c #shout #love #me #cute #like #rt #girl #guy #beautiful #look #amazing #style #colorful #ico #Walls #BestMusicVideo #iHeartAwards #BoyWithLuv",en,Tue Mar 10 12:49:38 +0000 2020
1237359702498889731,Check out my Gig on Fiverr: create 5 #amazing #video #intro #logo #animations https://t.co/867WFcXxfZ,en,Tue Mar 10 12:48:36 +0000 2020
1237359596278149121,RT @iamshadabfaridi: Backstage fun with #amazing actor #bigboss winner and a humble human being @RealVinduSingh Lots of love bhai ❤️🤗 https…,en,Tue Mar 10 12:48:11 +0000 2020
1237359349548437504,#amazing #sports Travel Storage Organizer Set https://t.co/6XDNZVXQBM https://t.co/SABiAYgwh6,en,Tue Mar 10 12:47:12 +0000 2020
1237358843316690944,"Hi there,
You need a Graphic designer.  I am an expert #photo #editor, #backgroundremove, #photoretouch and #amazing service. 
""📸
I will be happy to help you.
see you my portfolio; https://t.co/OcTno79eOJ
contacts me
https://t.co/i2jR7pMpZB
thank https://t.co/bHj4JHttgo",en,Tue Mar 10 12:45:11 +0000 2020
1237358700857360384,"It's : 2020-03-10T12:44:37.8089099Z 

#tuesdaymotivation #funny #pets #followme #f4f #c4c #shout #love #me #cute #like #rt #girl #guy #beautiful #look #amazing #style #colorful #ico #Walls #BestMusicVideo #iHeartAwards #BoyWithLuv",en,Tue Mar 10 12:44:37 +0000 2020
1237358664589160448,"RT @Snishaa2: Happy #Monday 💐 Welcome to New Week🌸May Be Full of Peace🕊 and Joy😃Much Love and Hugs💞💐🤗

#MondayMotivaton #GoodEvening
#Bali…",en,Tue Mar 10 12:44:29 +0000 2020
1237358662806646785,"RT @NiceBoyKimo: Hong Kong Victoria harbour, city never sleeps.

#amazing #cityscape https://t.co/hnkMRpu7vy",en,Tue Mar 10 12:44:28 +0000 2020
1237358639524073472,RT @ResourceCen: #ThankYou for the #Amazing event #LeedsWomen2020 #LeedsIWD2020 Proud to be #supporting women here in #Leeds ❤ We too will…,en,Tue Mar 10 12:44:23 +0000 2020
1237358261671690240,"My new car is a 2009 Ford Focus and it's amazing  #2009FordFocus #Amazing @ Clarksville, Tennessee https://t.co/TfZUqLT7C2",en,Tue Mar 10 12:42:53 +0000 2020
1237357680538390529,"RT @MidtownComics: #WomensMonth is here, and there is a TON of #amazing #women in #comics behind the scenes of some the best #comicbooks ou…",en,Tue Mar 10 12:40:34 +0000 2020
1237357675807006720,"RT @MaryMadisonLov: 🌸G🏀🏀d evening🌸

waiting for new surgery ... go bigger! 2 more months. Waiting for the big day for my two girls.

#body…",en,Tue Mar 10 12:40:33 +0000 2020
1237357672342716416,#life #getoutside #amazing Wine Bottle Opener with Wood Handle https://t.co/wSj9wKfwEd https://t.co/TumDUzjIYy,en,Tue Mar 10 12:40:32 +0000 2020
1237357528264081408,RT @iamshadabfaridi: Backstage fun with #amazing actor #bigboss winner and a humble human being @RealVinduSingh Lots of love bhai ❤️🤗 https…,en,Tue Mar 10 12:39:58 +0000 2020
1237357490582380551,RT @MaryMadisonLov: 🌸The Boss! Folti ♥️🥰 #body #fashion #amazing #gorgeous #thick https://t.co/68xkuwEnyX,en,Tue Mar 10 12:39:49 +0000 2020
1237357457774710785,"Bring LOVE into everything you do. 
.
.
#adorable #amazing #amor #lovelife #bae #beautiful #blacklove  #boyfriend  #couple #passion #couplegoals #believe #couples #cozy #cute   #cuterelationship #respect… https://t.co/pmXKtVERfM",en,Tue Mar 10 12:39:41 +0000 2020
1237357441899286533,"It's : 2020-03-10T12:39:37.5291611Z 

#tuesdaymotivation #funny #pets #followme #f4f #c4c #shout #love #me #cute #like #rt #girl #guy #beautiful #look #amazing #style #colorful #ico #Walls #BestMusicVideo #iHeartAwards #BoyWithLuv",en,Tue Mar 10 12:39:37 +0000 2020
1237357423377166336,"RT @EuropcarQatar: The nearest car rental office is in your hand..
Check out Europcar mobile application in playstore.
https://t.co/jPKDP6E…",en,Tue Mar 10 12:39:33 +0000 2020
1237356693614399488,It might be #windy in #Yorkshire #today but we are open. Come in and #shelter in the #Castle and #discover how Mary Queen of Scots lived when she was here. There are also #amazing #fresh #homemade #cakes and #soup to enjoy. #Tudor #heritage #history,en,Tue Mar 10 12:36:39 +0000 2020
1237356307528798208,After 2.5 hours doing a walking tour of #Prague freezing our what nots off it’s time for some local #food and it tastes #Amazing dark beer is also very good. Ready for an afternoon of more walking😎 https://t.co/9heDCLpbxo,en,Tue Mar 10 12:35:07 +0000 2020
1237356182471352320,"It's : 2020-03-10T12:34:37.2205152Z 

#tuesdaymotivation #funny #pets #followme #f4f #c4c #shout #love #me #cute #like #rt #girl #guy #beautiful #look #amazing #style #colorful #ico #Walls #BestMusicVideo #iHeartAwards #BoyWithLuv",en,Tue Mar 10 12:34:37 +0000 2020
